,Interior Equipment,dishwasher,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,refrigerator,5.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,clotheswasher,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,electric_dryer,7.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,electric_range,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,television,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,electric_mels,26.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,IECC_adj,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,General,7.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Ventilation,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Ventilation (simple),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Domestic Hot Water,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20
,,Water Heater,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Water Heater Parasitic,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Source Energy End Use Components Summary
FOR:,Entire Facility
Values gathered over        24.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Source Energy End Use Components Summary

,,Source Electricity [kBtu],Source Natural Gas [kBtu],Source Gasoline [kBtu],Source Diesel [kBtu],Source Coal [kBtu],Source Fuel Oil No 1 [kBtu],Source Fuel Oil No 2 [kBtu],Source Propane [kBtu],Source Other Fuel 1 [kBtu],Source Other Fuel 2 [kBtu],Source District Cooling [kBtu],Source District Heating [kBtu]
,Heating,11473.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,335.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,163.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,2666.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,591.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,735.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
,Total Source Energy End Use Components,15966.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Normalized Metrics
Source Energy End Use Components Per Conditioned Floor Area

,,Source Electricity [kBtu/ft2],Source Natural Gas [kBtu/ft2],Source Gasoline [kBtu/ft2],Source Diesel [kBtu/ft2],Source Coal [kBtu/ft2],Source Fuel Oil No 1 [kBtu/ft2],Source Fuel Oil No 2 [kBtu/ft2],Source Propane [kBtu/ft2],Source Other Fuel 1 [kBtu/ft2],Source Other Fuel 2 [kBtu/ft2],Source District Cooling [kBtu/ft2],Source District Heating [kBtu/ft2]
,Heating,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
,Total Source Energy End Use Components,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Source Energy End Use Components Per Total Floor Area

,,Source Electricity [kBtu/ft2],Source Natural Gas [kBtu/ft2],Source Gasoline [kBtu/ft2],Source Diesel [kBtu/ft2],Source Coal [kBtu/ft2],Source Fuel Oil No 1 [kBtu/ft2],Source Fuel Oil No 2 [kBtu/ft2],Source Propane [kBtu/ft2],Source Other Fuel 1 [kBtu/ft2],Source Other Fuel 2 [kBtu/ft2],Source District Cooling [kBtu/ft2],Source District Heating [kBtu/ft2]
,Heating,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
,Total Source Energy End Use Components,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Component Sizing Summary
FOR:,Entire Facility
ZoneHVAC:EnergyRecoveryVentilator

,,User-Specified Supply Air Flow Rate [ft3/min],User-Specified Exhaust Air Flow Rate [ft3/min]
,ERV_UNIT1_FRONTROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT2_FRONTROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT3_FRONTROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT1_BACKROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT2_BACKROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT3_BACKROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT1_FRONTROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT2_FRONTROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT3_FRONTROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT1_BACKROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT2_BACKROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT3_BACKROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT3_BACKROW_TOPFLOOR,44.99,44.99
,ERV_UNIT3_FRONTROW_TOPFLOOR,44.99,44.99
,ERV_UNIT1_FRONTROW_TOPFLOOR,44.99,44.99
,ERV_UNIT2_BACKROW_TOPFLOOR,44.99,44.99
,ERV_UNIT2_FRONTROW_TOPFLOOR,44.99,44.99
,ERV_UNIT1_BACKROW_TOPFLOOR,44.99,44.99
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Fan:OnOff

,,User-Specified Maximum Flow Rate [ft3/min],Design Size Maximum Flow Rate [ft3/min]
,OASUPPLYFAN_UNIT1_FRONTROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_FRONTROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT2_FRONTROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_FRONTROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT3_FRONTROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_FRONTROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT1_BACKROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_BACKROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT2_BACKROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_BACKROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT3_BACKROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_BACKROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT1_FRONTROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_FRONTROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT2_FRONTROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_FRONTROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT3_FRONTROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_FRONTROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT1_BACKROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_BACKROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT2_BACKROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_BACKROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT3_BACKROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_BACKROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT3_BACKROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_BACKROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT3_FRONTROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_FRONTROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT1_FRONTROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_FRONTROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT2_BACKROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_BACKROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT2_FRONTROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_FRONTROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT1_BACKROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_BACKROW_TOPFLOOR,44.99,
,SUPPLY FAN_UNIT1_FRONTROW_BOTTOMFLOOR,,554.12
,SUPPLY FAN_UNIT2_FRONTROW_BOTTOMFLOOR,,449.61
,SUPPLY FAN_UNIT3_FRONTROW_BOTTOMFLOOR,,503.61
,SUPPLY FAN_UNIT1_BACKROW_BOTTOMFLOOR,,526.04
,SUPPLY FAN_UNIT2_BACKROW_BOTTOMFLOOR,,449.61
,SUPPLY FAN_UNIT3_BACKROW_BOTTOMFLOOR,,503.57
,SUPPLY FAN_UNIT1_FRONTROW_MIDDLEFLOOR,,473.53
,SUPPLY FAN_UNIT2_FRONTROW_MIDDLEFLOOR,,282.21
,SUPPLY FAN_UNIT3_FRONTROW_MIDDLEFLOOR,,372.58
,SUPPLY FAN_UNIT1_BACKROW_MIDDLEFLOOR,,435.73
,SUPPLY FAN_UNIT2_BACKROW_MIDDLEFLOOR,,275.99
,SUPPLY FAN_UNIT3_BACKROW_MIDDLEFLOOR,,345.92
,SUPPLY FAN_UNIT1_FRONTROW_TOPFLOOR,,477.11
,SUPPLY FAN_UNIT2_FRONTROW_TOPFLOOR,,301.82
,SUPPLY FAN_UNIT3_FRONTROW_TOPFLOOR,,378.19
,SUPPLY FAN_UNIT1_BACKROW_TOPFLOOR,,453.68
,SUPPLY FAN_UNIT2_BACKROW_TOPFLOOR,,300.35
,SUPPLY FAN_UNIT3_BACKROW_TOPFLOOR,,353.81
,HEAT PUMP WATER HEATER FAN_UNIT1_FRONTROW_BOTTOMFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT2_FRONTROW_BOTTOMFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT3_FRONTROW_BOTTOMFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT1_BACKROW_BOTTOMFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT2_BACKROW_BOTTOMFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT3_BACKROW_BOTTOMFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT1_FRONTROW_MIDDLEFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT2_FRONTROW_MIDDLEFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT3_FRONTROW_MIDDLEFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT1_BACKROW_MIDDLEFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT2_BACKROW_MIDDLEFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT3_BACKROW_MIDDLEFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT1_FRONTROW_TOPFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT2_FRONTROW_TOPFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT3_FRONTROW_TOPFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT1_BACKROW_TOPFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT2_BACKROW_TOPFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT3_BACKROW_TOPFLOOR,,160.01
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


HeatExchanger:AirToAir:SensibleAndLatent

,,User-Specified Nominal Supply Air Flow Rate [ft3/min]
,OA_HEAT_RECOVERY_UNIT1_FRONTROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_FRONTROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_FRONTROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_BACKROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_BACKROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_BACKROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_FRONTROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_FRONTROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_FRONTROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_BACKROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_BACKROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_BACKROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_BACKROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_FRONTROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_FRONTROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_BACKROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_FRONTROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_BACKROW_TOPFLOOR,44.99
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirTerminal:SingleDuct:ConstantVolume:NoReheat

,,Design Size Maximum Air Flow Rate [ft3/min]
,ZONEDIRECTAIR_UNIT1_FRONTROW_BOTTOMFLOOR,554.12
,ZONEDIRECTAIR_UNIT2_FRONTROW_BOTTOMFLOOR,449.61
,ZONEDIRECTAIR_UNIT3_FRONTROW_BOTTOMFLOOR,503.61
,ZONEDIRECTAIR_UNIT1_BACKROW_BOTTOMFLOOR,526.04
,ZONEDIRECTAIR_UNIT2_BACKROW_BOTTOMFLOOR,449.61
,ZONEDIRECTAIR_UNIT3_BACKROW_BOTTOMFLOOR,503.57
,ZONEDIRECTAIR_UNIT1_FRONTROW_MIDDLEFLOOR,473.53
,ZONEDIRECTAIR_UNIT2_FRONTROW_MIDDLEFLOOR,282.21
,ZONEDIRECTAIR_UNIT3_FRONTROW_MIDDLEFLOOR,372.58
,ZONEDIRECTAIR_UNIT1_BACKROW_MIDDLEFLOOR,435.73
,ZONEDIRECTAIR_UNIT2_BACKROW_MIDDLEFLOOR,275.99
,ZONEDIRECTAIR_UNIT3_BACKROW_MIDDLEFLOOR,345.92
,ZONEDIRECTAIR_UNIT3_BACKROW_TOPFLOOR,353.81
,ZONEDIRECTAIR_UNIT3_FRONTROW_TOPFLOOR,378.19
,ZONEDIRECTAIR_UNIT1_FRONTROW_TOPFLOOR,477.11
,ZONEDIRECTAIR_UNIT2_BACKROW_TOPFLOOR,300.35
,ZONEDIRECTAIR_UNIT2_FRONTROW_TOPFLOOR,301.82
,ZONEDIRECTAIR_UNIT1_BACKROW_TOPFLOOR,453.68
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirLoopHVAC

,,Sum of Air Terminal Maximum Heating Flow Rates [ft3/min],Sum of Air Terminal Minimum Heating Flow Rates [ft3/min],Sum of Air Terminal Maximum Flow Rates [ft3/min],Adjusted Heating Design Air Flow Rate [ft3/min],Adjusted Cooling Design Air Flow Rate [ft3/min],Adjusted Main Design Air Flow Rate [ft3/min],User Heating Air Flow Ratio [],Calculated Heating Air Flow Ratio [],Design Supply Air Flow Rate [ft3/min]
,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,554.12,554.12,554.12,554.12,554.12,554.12,1.00,1.00,554.12
,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,449.61,449.61,449.61,449.61,449.61,449.61,1.00,1.00,449.61
,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,503.61,503.61,503.61,503.61,503.61,503.61,1.00,1.00,503.61
,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,526.04,526.04,526.04,526.04,526.04,526.04,1.00,1.00,526.04
,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,449.61,449.61,449.61,449.61,449.61,449.61,1.00,1.00,449.61
,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,503.57,503.57,503.57,503.57,503.57,503.57,1.00,1.00,503.57
,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,473.53,473.53,473.53,473.53,473.53,473.53,1.00,1.00,473.53
,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,282.21,282.21,282.21,282.21,282.21,282.21,1.00,1.00,282.21
,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,372.58,372.58,372.58,372.58,372.58,372.58,1.00,1.00,372.58
,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,435.73,435.73,435.73,435.73,435.73,435.73,1.00,1.00,435.73
,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,275.99,275.99,275.99,275.99,275.99,275.99,1.00,1.00,275.99
,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,345.92,345.92,345.92,345.92,345.92,345.92,1.00,1.00,345.92
,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,477.11,477.11,477.11,477.11,477.11,477.11,1.00,1.00,477.11
,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,301.82,301.82,301.82,301.82,301.82,301.82,1.00,1.00,301.82
,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,378.19,378.19,378.19,378.19,378.19,378.19,1.00,1.00,378.19
,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,453.68,453.68,453.68,453.68,453.68,453.68,1.00,1.00,453.68
,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,300.35,300.35,300.35,300.35,300.35,300.35,1.00,1.00,300.35
,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,353.81,353.81,353.81,353.81,353.81,353.81,1.00,1.00,353.81
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Cooling:DX:SingleSpeed

,,Design Size Rated Air Flow Rate [ft3/min],Design Size Gross Rated Total Cooling Capacity [ton],Design Size Gross Rated Sensible Heat Ratio
,DX COOLING COIL_UNIT1_FRONTROW_BOTTOMFLOOR,554.12,1.23,0.800655
,DX COOLING COIL_UNIT2_FRONTROW_BOTTOMFLOOR,449.61,1.07,0.800654
,DX COOLING COIL_UNIT3_FRONTROW_BOTTOMFLOOR,503.61,1.15,0.800808
,DX COOLING COIL_UNIT1_BACKROW_BOTTOMFLOOR,526.04,1.17,0.800655
,DX COOLING COIL_UNIT2_BACKROW_BOTTOMFLOOR,449.61,1.12,0.800372
,DX COOLING COIL_UNIT3_BACKROW_BOTTOMFLOOR,503.57,1.19,0.800606
,DX COOLING COIL_UNIT1_FRONTROW_MIDDLEFLOOR,473.53,1.05,0.800655
,DX COOLING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,282.21,0.626948,0.800655
,DX COOLING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,372.58,0.827713,0.800655
,DX COOLING COIL_UNIT1_BACKROW_MIDDLEFLOOR,435.73,0.968006,0.800655
,DX COOLING COIL_UNIT2_BACKROW_MIDDLEFLOOR,275.99,0.613123,0.800655
,DX COOLING COIL_UNIT3_BACKROW_MIDDLEFLOOR,345.92,0.768488,0.800655
,DX COOLING COIL_UNIT1_FRONTROW_TOPFLOOR,477.11,1.06,0.800655
,DX COOLING COIL_UNIT2_FRONTROW_TOPFLOOR,301.82,0.671941,0.800872
,DX COOLING COIL_UNIT3_FRONTROW_TOPFLOOR,378.19,0.840180,0.800655
,DX COOLING COIL_UNIT1_BACKROW_TOPFLOOR,453.68,1.01,0.800655
,DX COOLING COIL_UNIT2_BACKROW_TOPFLOOR,300.35,0.670842,0.800691
,DX COOLING COIL_UNIT3_BACKROW_TOPFLOOR,353.81,0.786025,0.800655
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirLoopHVAC:UnitaryHeatCool

,,Supply Air Flow Rate [ft3/min],Supply Air Flow Rate During Heating Operation [ft3/min],Supply Air Flow Rate During Cooling Operation [ft3/min],Nominal Heating Capacity [Btu/h],Nominal Cooling Capacity [ton],Fraction of Supply Air Flow That Goes Through the Controlling Zone
,ACANDF_UNIT1_FRONTROW_BOTTOMFLOOR,554.12,554.12,554.12,31928.99,1.23,1.00
,ACANDF_UNIT2_FRONTROW_BOTTOMFLOOR,449.61,449.61,449.61,29019.46,1.07,1.00
,ACANDF_UNIT3_FRONTROW_BOTTOMFLOOR,503.61,503.61,503.61,31935.89,1.15,1.00
,ACANDF_UNIT1_BACKROW_BOTTOMFLOOR,526.04,526.04,526.04,31931.88,1.17,1.00
,ACANDF_UNIT2_BACKROW_BOTTOMFLOOR,449.61,449.61,449.61,29019.76,1.12,1.00
,ACANDF_UNIT3_BACKROW_BOTTOMFLOOR,503.57,503.57,503.57,31933.72,1.19,1.00
,ACANDF_UNIT1_FRONTROW_MIDDLEFLOOR,473.53,473.53,473.53,13897.11,1.05,1.00
,ACANDF_UNIT2_FRONTROW_MIDDLEFLOOR,282.21,282.21,282.21,10862.73,0.626948,1.00
,ACANDF_UNIT3_FRONTROW_MIDDLEFLOOR,372.58,372.58,372.58,13897.86,0.827713,1.00
,ACANDF_UNIT1_BACKROW_MIDDLEFLOOR,435.73,435.73,435.73,13898.69,0.968006,1.00
,ACANDF_UNIT2_BACKROW_MIDDLEFLOOR,275.99,275.99,275.99,10861.95,0.613123,1.00
,ACANDF_UNIT3_BACKROW_MIDDLEFLOOR,345.92,345.92,345.92,13894.73,0.768488,1.00
,ACANDF_UNIT1_FRONTROW_TOPFLOOR,477.11,477.11,477.11,16425.22,1.06,1.00
,ACANDF_UNIT2_FRONTROW_TOPFLOOR,301.82,301.82,301.82,13356.34,0.671941,1.00
,ACANDF_UNIT3_FRONTROW_TOPFLOOR,378.19,378.19,378.19,16421.50,0.840180,1.00
